"Case Number","Incident Datetime","Incident ID","Incident Type Primary","Incident Description","Parent Incident Type","Hour of Day","Day of Week","Address","City","State","Location","Latitude","Longitude","Created At","updated_at","zip_code","neighborhood","Council District","Council District 2011","Census Tract","Census Block Group","Census Block","2010 Census Tract ","2010 Census Block Group","2010 Census Block","Police District","TRACTCE20","GEOID20_tract","GEOID20_blockgroup","GEOID20_block"
"25-2060695","2025 Jul 25 04:37:33 PM",,"BURGLARY","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Breaking & Entering","16","Friday","1500 Block BAILEY AV","Buffalo","NY","POINT (-78.814 42.896)","42.896","-78.814","2025 Jul 25 04:38:33 PM",,"14212","Lovejoy","LOVEJOY","LOVEJOY","24","3","3002","24","5","5001","District C","002400","36029002400","360290024003","360290024003002"
"25-2070806","2025 Jul 25 05:00:00 PM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","17","Saturday","200 Block ROTHER AV","Buffalo","NY","POINT (-78.831 42.901)","42.901","-78.831","2025 Jul 26 05:03:30 PM",,"14211","Broadway Fillmore","ELLICOTT","FILLMORE","27.04","1","1002","27.02","1","1002","District C","002704","36029002704","360290027041","360290027041002"
"25-2070536","2025 Jul 25 05:00:35 PM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","12","Saturday","300 Block PROSPECT AV","Buffalo","NY","POINT (-78.888 42.898)","42.898","-78.888","2025 Jul 26 12:52:35 PM",,"14201","Lower West Side","NIAGARA","ELLICOTT","71.03","1","1003","71.01","3","3006","District B","007103","36029007103","360290071031","360290071031003"
"25-2060725","2025 Jul 25 05:08:30 PM",,"ASSAULT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Assault","17","Friday","2600 Block DELAWARE AV","Buffalo","NY",,,,"2025 Jul 25 05:09:30 PM",,"14207","West Hertel","NORTH","NORTH","50","2","3008","55","3","1002","District D","005000","36029005000","360290050002","360290055003008"
"25-2060728","2025 Jul 25 05:10:55 PM",,"ASSAULT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Assault","17","Friday","1100 Block JEFFERSON AV","Buffalo","NY","POINT (-78.854 42.906)","42.906","-78.854","2025 Jul 25 05:12:55 PM",,"14208","Masten Park","ELLICOTT","ELLICOTT","168.01","1","1008","168","1","1008","District B","016801","36029016801","360290168011","360290168011008"
"25-2060791","2025 Jul 25 06:06:22 PM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","18","Friday","100 Block POTOMAC","Buffalo","NY","POINT (-78.894 42.925)","42.925","-78.894","2025 Jul 25 06:07:22 PM",,"14213","Upper West Side","NIAGARA","NIAGARA","171","4","4001","171","4","4001","District D","017100","36029017100","360290171004","360290171004001"
"25-2060990","2025 Jul 25 09:15:56 PM",,"ASSAULT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Assault","21","Friday","200 Block FILLMORE AV","Buffalo","NY","POINT (-78.839 42.881)","42.881","-78.839","2025 Jul 25 09:16:56 PM",,"14206","Broadway Fillmore","FILLMORE","FILLMORE","17","1","1012","17","1","1013","District C","001700","36029001700","360290017001","360290017001012"
"25-2240942","2025 Jul 25 09:30:10 PM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","19","Tuesday","0 Block FULTON ST","Buffalo","NY","POINT (-78.871 42.874)","42.874","-78.871","2025 Aug 12 07:40:10 PM",,"14204","Ellicott","ELLICOTT","FILLMORE","164","1","1003","164","1","1011","District A","016400","36029016400","360290164001","360290164001003"
"25-2071104","2025 Jul 25 10:15:47 PM",,"UUV","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft of Vehicle","21","Saturday","100 Block ULLMAN ST","Buffalo","NY","POINT (-78.905 42.961)","42.961","-78.905","2025 Jul 26 09:33:47 PM",,"14207","Riverside","NORTH","NORTH","58.01","2","2007","58.01","2","2007","District D","005801","36029005801","360290058012","360290058012007"
"25-2061091","2025 Jul 25 10:49:06 PM",,"UUV","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft of Vehicle","22","Friday","300 Block W FERRY ST","Buffalo","NY","POINT (-78.887 42.915)","42.915","-78.887","2025 Jul 25 10:50:06 PM",,"14213","Elmwood Bryant","NIAGARA","NIAGARA","66.01","3","3004","66.01","3","3004","District B","006601","36029006601","360290066013","360290066013004"
"25-2061136","2025 Jul 25 11:40:07 PM",,"ASSAULT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Assault","23","Friday","0 Block LAIRD AV","Buffalo","NY","POINT (-78.9 42.955)","42.955","-78.9","2025 Jul 25 11:40:07 PM",,"14207","Riverside","NORTH","NORTH","58.02","3","3004","58.02","3","3004","District D","005802","36029005802","360290058023","360290058023004"
"25-2380290","2025 Jul 26 12:00:00 AM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","9","Tuesday","0 Block SYMPHONY CR","Buffalo","NY","POINT (-78.881 42.902)","42.902","-78.881","2025 Aug 26 09:27:04 AM",,"14201","Allentown","FILLMORE","ELLICOTT","68.02","1","1004","68","1","1005","District B","006802","36029006802","360290068021","360290068021004"
"25-2330416","2025 Jul 26 12:00:40 AM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","11","Thursday","500 Block WASHINGTON ST","Buffalo","NY","POINT (-78.872 42.888)","42.888","-78.872","2025 Aug 21 11:25:40 AM",,"14203","Central","FILLMORE","ELLICOTT","165","1","1004","165","1","1042","District B","016500","36029016500","360290165001","360290165001004"
"25-2070528","2025 Jul 26 01:15:00 AM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","12","Saturday","500 Block HINMAN AV","Buffalo","NY","POINT (-78.888 42.957)","42.957","-78.888","2025 Jul 26 12:44:01 PM",,"14216","West Hertel","NORTH","NORTH","56","1","1003","56","1","1005","District D","005600","36029005600","360290056001","360290056001003"
"25-2090754","2025 Jul 26 02:21:19 AM",,"ASSAULT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Assault","15","Monday","0 Block W CHIPPEWA ST","Buffalo","NY","POINT (-78.871 42.889)","42.889","-78.871","2025 Jul 28 03:40:19 PM",,"14203","Central","ELLICOTT","ELLICOTT","165","2","2025","165","1","1034","District B","016500","36029016500","360290165002","360290165002025"
"25-2070142","2025 Jul 26 02:48:39 AM",,"LARCENY/THEFT","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","Theft","2","Saturday","2000 Block DELAWARE AV","Buffalo","NY","POINT (-78.868 42.94)","42.94","-78.868","2025 Jul 26 02:49:39 AM",,"14216","Parkside","NORTH","NORTH","54","2","2006","54","2","2005","District D","005400","36029005400","360290054002","360290054002006"
